ID,What is your age range?,What is your gender?,What is your education level?,What is your employment status?,What is your occupation? (optional),How often do you use technological devices?,How much knowledge do you have about artificial intelligence (AI) technologies?,Do you generally trust artificial intelligence (AI)?,Do you think artificial intelligence (AI) will be generally beneficial or harmful to humanity?,Please rate how actively you use AI-powered products in your daily life on a scale from 1 to 5.,Would you like to use more AI products in the future?,I think artificial intelligence (AI) could threaten individual freedoms.,Could artificial intelligence (AI) completely eliminate some professions?,Do you think your own job could be affected by artificial intelligence (AI)?,Do you believe that artificial intelligence (AI) should be limited by ethical rules?,Could artificial intelligence (AI) one day become conscious like humans?,Which of the following do you think is NOT an artificial intelligence (AI) application?,Which of the following is a machine learning algorithm used in the field of artificial intelligence?,The artificial intelligence application called 'ChatGPT' is an example of which type of AI system?
78,Under 18 years old,Female,High school,Student,Student,Between 5 to 10 hours per day,I have basic knowledge,I trust it,Both beneficial and harmful,4,I'm undecided,Agree,Definitely Removes,Think,Agree,Becomes,WhatsApp,I do not know,Web browser
79,35-44,Female,Ön Bachelor's degree,Employed,,Between 0 to 2 hours per day,I've heard a little about it,I'm undecided,Both beneficial and harmful,3,I'm undecided,I'm undecided,I have no idea,I'm undecided,I'm undecided,I'm undecided,WhatsApp,I do not know,Image processing
80,25-34,Female,Bachelor's degree,Employed,Audiology,Between 5 to 10 hours per day,I have basic knowledge,I'm undecided,Both beneficial and harmful,3,I'm undecided,Agree,Can't handle it,I definitely think,Strongly Agree,I'm undecided,WhatsApp,Game algorithm,I do not know
81,18-24,Female,Bachelor's degree,Student,engineer,Between 5 to 10 hours per day,I have basic knowledge,I'm undecided,Both beneficial and harmful,3,I would like to,Agree,Definitely Removes,I definitely think,Strongly Agree,I'm undecided,WhatsApp,Linear regression,Natural language processing
82,45 years and older,Male,Bachelor's degree,Emekliyim,Teacher,Between 5 to 10 hours per day,I've heard a little about it,I trust it,Both beneficial and harmful,1,"Definitely, I would like to",Strongly Agree,Definitely Removes,Think,Strongly Agree,I'm undecided,WhatsApp,Excel,Natural language processing
83,45 years and older,Male,Bachelor's degree,Employed,Teacher ,Between 0 to 2 hours per day,I have basic knowledge,I don't trust it at all,More harmful than beneficial,1,I would not like to,Agree,Can't handle it,Definitely I don't think so,Strongly Agree,Can't,WhatsApp,Linear regression,Web browser
84,18-24,Female,Bachelor's degree,Student,Doktor-Student,More than 10 hours per day,I have a good level of knowledge,I trust it,More harmful than beneficial,3,I would like to,I'm undecided,Removes,Think,Strongly Agree,I'm undecided,Netflix recommendations,Excel,Web browser
85,45 years and older,Male,Primary education,Employed,Marketing,Between 5 to 10 hours per day,I have a good level of knowledge,I trust it,Both beneficial and harmful,2,I'm undecided,Strongly disagree,Definitely Removes,Think,Strongly Agree,Becomes,WhatsApp,HTML,Web browser
86,45 years and older,Male,Bachelor's degree,Employed,Teacher ,Between 5 to 10 hours per day,I have basic knowledge,I'm undecided,Both beneficial and harmful,1,I would like to,Agree,Removes,Think,Agree,Can't,WhatsApp,Game algorithm,I do not know
87,35-44,Female,High school,Unemployed,Housewife,Between 0 to 2 hours per day,I have basic knowledge,I don't trust it at all,Definitely harmful,1,I would not like to,Agree,Removes,Think,I'm undecided,Becomes,WhatsApp,I do not know,I do not know
88,45 years and older,Male,Bachelor's degree,Employed,Teacher,Between 2 to 5 hours per day,I have basic knowledge,I don't trust it,Both beneficial and harmful,3,I would like to,Agree,Removes,Think,Agree,Becomes,WhatsApp,Excel,Image processing
89,45 years and older,Male,Bachelor's degree,Employed,Teacher ,More than 10 hours per day,I have a good level of knowledge,I don't trust it,Both beneficial and harmful,5,I'm undecided,I'm undecided,Removes,I don't think so,Agree,I'm undecided,WhatsApp,I do not know,I do not know
90,25-34,Male,Bachelor's degree,Employed,engineer,More than 10 hours per day,I have basic knowledge,I trust it,Both beneficial and harmful,2,I would like to,I'm undecided,Removes,I don't think so,I'm undecided,Becomes,WhatsApp,Game algorithm,Natural language processing
91,45 years and older,Male,Bachelor's degree,Emekliyim,,Between 0 to 2 hours per day,I have basic knowledge,I don't trust it,More harmful than beneficial,2,I would not like to,I disagree,Removes,I don't think so,Strongly Agree,Can't,Netflix recommendations,I do not know,Natural language processing
92,45 years and older,Male,Bachelor's degree,Employed,Teacher ,Between 2 to 5 hours per day,I have basic knowledge,I trust it,More beneficial than harmful,1,I would like to,I'm undecided,Removes,Think,Agree,I'm undecided,WhatsApp,Linear regression,Natural language processing
93,45 years and older,Male,Master's degree or higher,Employed,Teacher ,Between 0 to 2 hours per day,I have a good level of knowledge,I trust it,Definitely beneficial,4,"Definitely, I would like to",I disagree,Definitely Removes,Think,Strongly disagree,Becomes,WhatsApp,I do not know,Web browser
94,35-44,Female,Master's degree or higher,Employed,Teacher ,Between 0 to 2 hours per day,I have a good level of knowledge,I trust it,Both beneficial and harmful,2,I would like to,I'm undecided,Removes,Think,Strongly Agree,I'm undecided,WhatsApp,Linear regression,Web browser
95,35-44,Female,High school,Employed,,More than 10 hours per day,I've heard a little about it,I don't trust it,Both beneficial and harmful,1,I would like to,I'm undecided,Removes,Think,I'm undecided,Can't,Netflix recommendations,I do not know,I do not know
96,45 years and older,Male,Bachelor's degree,Employed,Teacher,Between 2 to 5 hours per day,I've heard a little about it,I trust it,Definitely beneficial,2,I would like to,I'm undecided,I have no idea,Think,I'm undecided,Becomes,I do not know,I do not know,I do not know
97,18-24,Female,High school,Student,engineer,Between 5 to 10 hours per day,I have a good level of knowledge,I trust it,Definitely beneficial,5,I would like to,I disagree,Can't handle it,I don't think so,Agree,Can't,WhatsApp,Linear regression,Natural language processing
98,35-44,Male,Bachelor's degree,Employed,Security,Between 0 to 2 hours per day,I have basic knowledge,I trust it,Both beneficial and harmful,1,"Definitely, I would not like to",I disagree,Removes,Think,Agree,It certainly can't be,WhatsApp,Game algorithm,Image processing
99,45 years and older,Male,Master's degree or higher,Employed,Teacher ,Between 0 to 2 hours per day,I have basic knowledge,I'm undecided,More harmful than beneficial,3,I'm undecided,Strongly disagree,Can't handle it,Think,Strongly Agree,Becomes,WhatsApp,I do not know,I do not know
100,25-34,Male,Bachelor's degree,Employed,Teacher,Between 5 to 10 hours per day,I have a good level of knowledge,I trust it,Both beneficial and harmful,2,I would like to,Agree,Removes,Think,Agree,I'm undecided,WhatsApp,Linear regression,Natural language processing
101,25-34,Male,Master's degree or higher,Employed,Uzman,More than 10 hours per day,I have a good level of knowledge,I trust it,More beneficial than harmful,3,I would like to,I disagree,Definitely Removes,I don't think so,Agree,Can't,WhatsApp,HTML,Natural language processing
102,45 years and older,Female,High school,Emekliyim,,Between 2 to 5 hours per day,I've heard a little about it,I don't trust it,Both beneficial and harmful,1,I would not like to,Agree,I have no idea,Definitely I don't think so,Agree,It certainly can't be,Netflix recommendations,I do not know,Natural language processing
103,45 years and older,Female,Bachelor's degree,Employed,Teacher ,Between 5 to 10 hours per day,I have basic knowledge,I'm undecided,Definitely beneficial,2,I would like to,I'm undecided,Removes,Think,Strongly Agree,Becomes,WhatsApp,Linear regression,Natural language processing
104,45 years and older,Female,Bachelor's degree,Employed,Teacher ,Between 0 to 2 hours per day,I've heard a little about it,I'm undecided,Both beneficial and harmful,1,I'm undecided,Agree,Removes,I'm undecided,Strongly Agree,Becomes,I do not know,I do not know,Natural language processing
105,45 years and older,Female,Master's degree or higher,Employed,Teacher,Between 2 to 5 hours per day,I have basic knowledge,I'm undecided,Both beneficial and harmful,2,I would not like to,Agree,Removes,I'm undecided,Strongly Agree,Becomes,WhatsApp,Excel,Web browser
106,35-44,Female,Master's degree or higher,Employed,Teacher,Between 2 to 5 hours per day,I have basic knowledge,I'm undecided,Both beneficial and harmful,2,I would like to,Agree,Removes,Think,Strongly Agree,Can't,WhatsApp,Game algorithm,Natural language processing
107,35-44,Male,Bachelor's degree,Employed,engineer,More than 10 hours per day,I've heard a little about it,I don't trust it,More beneficial than harmful,1,I would like to,Agree,Removes,Think,Agree,Becomes,WhatsApp,I do not know,I do not know
108,45 years and older,Male,Bachelor's degree,Employed,Teacher,Between 5 to 10 hours per day,I have basic knowledge,I don't trust it,Both beneficial and harmful,3,I'm undecided,Strongly disagree,Removes,Think,Agree,Becomes,WhatsApp,I do not know,Natural language processing
109,45 years and older,Female,Master's degree or higher,Employed,Teacher,Between 2 to 5 hours per day,I have basic knowledge,I don't trust it,More harmful than beneficial,3,I'm undecided,Agree,Removes,Think,Agree,I'm undecided,WhatsApp,Game algorithm,Web browser
110,35-44,Female,Bachelor's degree,Employed,Teacher ,Between 0 to 2 hours per day,I have basic knowledge,I don't trust it,More harmful than beneficial,1,I'm undecided,Strongly Agree,Removes,I don't think so,Strongly Agree,Can't,WhatsApp,I do not know,Natural language processing
